City	Country
Saint Petersburg	
Saint-Denis	
Salem	United States
San Francisco	
San Gemini	Central Italy
Sandwich	United States
Segovia	Spain
Seville	Spain
Shangai	China
Siena	Italy
Skidegate	Canada
South Hackensack	
Strasbourg	present-day France
São Paulo	Brazil
Tabriz	Iran
Taybad	Iran
Tehran	Iran (Persia)
Tembladera	Peru
Tintam village	Mali
Tohshima	Japan
Tonalá	Mexico
Toulouse	
Toulouse (?)	
Tournai	South Netherlands
Toyohara	
Troyes	
Vancouver	Canada
Venice	Italy
Venice: Apud Francifcum de Francifcis Senenfem	
Venice|Paris	Italy|France
Versailles	France
Versailles	
Vienna	Austria
Vols. 1 (November 1912)–7 (September 1925)|copy 2 of vols. 2–3	
Woodstock	United States
Würzburg	
Yamok village	Papua New Guinea
Yau village	Papua New Guinea
possibly Baghdad	Iraq or Northern Jazira
possibly Cairo	Egypt
possibly Granada	
possibly Munich	
possibly Paris	France
possibly Paris	
probably Basra	Iraq
probably Bologna	
probably Cairo	Egypt
probably Cairo	probably Egypt
probably Cologne	Germany
probably Constantinople	
probably Cordoba	Spain
probably Freiburg im Breisgau	Germany
probably Herat	present-day Afghanistan
probably Hildesheim	Germany
probably Isfahan	Iran
probably Istanbul	Turkey
probably Istanbul	
probably Istanbul or Amasya	Turkey
probably Kashan	Iran
probably Lahore	present-day Pakistan
probably London	England
probably Lucknow	India
probably Milan	
probably Málaga	Spain
probably Naples	Italy
probably Nuremberg	Germany
probably Nuremberg	
probably Paris	France
probably Qairawan	Tunisia
probably Stuttgart	
probably Vienna	Austria
vicinity of Autun	France
	Angola
	Angola or Democratic Republic of the Congo
	Australia
	Austria
	Bolivia or Peru
	Burkina Faso
	Cameroon
	Chile
	Chile or Peru
	China
	China or Korea
	Colombia
	Colombia or Ecuador
	Costa Rica
	Côte d'Ivoire
	Democratic Republic of the Congo
	Dominican Republic (?)
	Eastern Iran or present-day Afghanistan
	Ecuador
	Egypt
	Egypt and Sudan
	Ethiopia
	Federated States of Micronesia
	France
	Gabon
	Gabon or Equatorial Guinea
	Gabon or Republic of Congo
	Germany
	Ghana
	Guatemala
	Guatemala or Mexico
	India
	Indonesia
	Iran
	Iran (Persia)
	Iran or Afghanistan
	Iran or Central Asia
	Iran or Iraq
	Italy
	Japan
	Korea
	Liberia
	Madagascar
	Mali
	Mangareva
	Mexico
	Mozambique
	Myanmar (formerly Burma)
	Netherlands
	New Zealand
	Nigeria
	Northern India
	Northwestern Iran, probably
	Norway
	Panama
	Papua New Guinea
	Peru
	Portugal
	Republic of Palau
	Senegal
	Sierra Leone
	Solomon Islands
	Sothern Turkmenistan
	South Netherlands
	Southern Italy
	Southern Russia or Black Sea Region (?)
	Spain
	Syria
	Syria, Yemen, or North Africa
	Tahiti
	Taiwan
	Thailand
	Tibet
	Tonga
	Turkey
	Uganda
	United States
	Vanuatu
	West Central Turkey
	Yemen
	present-day France
	probably Egypt
	probably Iraq or Syria
	probably Syria
