Object Number	Is Public Domain	Department	Object Name	Title	Culture	Artist Role	Artist Prefix	Artist Display Name	Artist Suffix	Artist Alpha Sort	Artist Nationality	Artist Begin Date	Artist End Date	Object Date	Object Begin Date	Object End Date	Medium	Dimensions	Credit Line	Acquisition Date	City	State	County	Country	Region	Classification	Rights and Reproduction	Link Resource	Repository
65.167.6	True	American Decorative Arts	Side Chair	Side Chair	American	Maker|Maker	Attributed to|Attributed to	John Finlay|Hugh Finlay		Finlay, John|Finlay, Hugh		1796      |1797	1833      |1837	1815–20	1815	1820	Maple, painted and gilded, cane	34 x 20 5/8 x 22 1/4 in. (86.4 x 52.4 x 56.5 cm)	Purchase, Mrs. Paul Moore Gift, 1965		Baltimore			United States		Furniture		http://www.metmuseum.org/art/collection/search/1815	Metropolitan Museum of Art, New York, NY
10.125.685	True	American Decorative Arts	Chest	Chest	American	Maker|Maker	Possibly	Thomas Dennis|William Searle		Dennis, Thomas|Searle, William		1638      |1611	1706      |1667	1663–80	1663	1680	White oak, red oak	29 3/4 x 49 1/8 x 21 3/8 in. (75.6 x 124.8 x 54.3 cm)	Gift of Mrs. Russell Sage, 1909		Ipswich			United States		Furniture		http://www.metmuseum.org/art/collection/search/1997	Metropolitan Museum of Art, New York, NY
33.120.221	True	American Decorative Arts	Chocolate Pot	Chocolate Pot	American	Maker		Edward Winslow		Winslow, Edward	American	1669	1753	1700–1710	1700	1710	Silver	"Overall: 9 1/8 x 6 3/4 x 5 13/16 in. (23.2 x 17.1 x 14.8 cm); 23 oz. (715.4 g)
Foot: Diam. 3 15/16 in. (10 cm)"	Bequest of Alphonso T. Clearwater, 1933		Boston			United States		Silver		http://www.metmuseum.org/art/collection/search/2059	Metropolitan Museum of Art, New York, NY
28.52a, b	True	American Decorative Arts	Goblet	Covered goblet	American	Maker|Maker		New Bremen Glass Manufactory|John Frederick Amelung		New Bremen Glass Manufactory |Amelung, John Frederick		1784      |1784	1795      |1791	1788	1788	1788	Blown and engraved glass	H. 11 1/4 in. (28.6 cm)	Rogers Fund, 1928		New Bremen	Frederick County	Frederick County	United States		Glass		http://www.metmuseum.org/art/collection/search/2390	Metropolitan Museum of Art, New York, NY
18.95.16	True	American Decorative Arts	Sugar pot	Sugar pot	American									1820–40	1820	1840	Earthenware with slip decoration	H. 12 3/4 in. (32.4 cm); Diam. 10 in. (25.4 cm)	Rogers Fund, 1918			Alamance	Alamance	United States		Ceramics		http://www.metmuseum.org/art/collection/search/2408	Metropolitan Museum of Art, New York, NY
15.21.2	True	American Decorative Arts	Desk and bookcase	Desk and bookcase	American									1760–90	1760	1790	"Mahogany, chestnut, white pine, yellow pine,
tulip poplar, cedar"	99 1/8 x 44 1/8 x 25 3/4 in. (251.8 x 112.1 x 65.4 cm)	Rogers Fund, 1915		Newport			United States		Furniture		http://www.metmuseum.org/art/collection/search/3141	Metropolitan Museum of Art, New York, NY
69.203	True	American Decorative Arts	Desk and bookcase	Desk and Bookcase	American									ca. 1811	1808	1811	"Mahogany, satinwood, maple, verre églomisé
with cedar"	91 x 72 x 19 1/8 in. (231.1 x 182.9 x 48.6 cm)	Gift of Mrs. Russell Sage and various other donors, by exchange, 1969		Baltimore			United States		Furniture		http://www.metmuseum.org/art/collection/search/3152	Metropolitan Museum of Art, New York, NY
60.29.1a, b	True	American Decorative Arts	Secretary bookcase	Secretary-bookcase	American	Maker	Possibly by	Robert Fisher		Fisher, Robert		1824	1837	1825–35	1825	1835	Ebonized mahogany, mahogany, mahogany veneer, gilding, bronzing, stamped brass ornaments, glass	102 x 55 3/4 x 28 1/8 in. (259.1 x 141.6 x 71.4 cm)	Gift of Francis Hartman Markoe, 1960		New York			United States		Furniture		http://www.metmuseum.org/art/collection/search/3158	Metropolitan Museum of Art, New York, NY
50.228.3	True	American Decorative Arts	Easy chair	Easy Chair	American	Maker		Caleb Gardner		Gardner, Caleb		1711	1761	1758	1758	1758	Walnut, maple	46 3/8 x 32 3/8 x 25 7/8 in. (117.8 x 82.2 x 65.7 cm)	Gift of Mrs. J. Insley Blair, 1950		Newport			United States		Furniture		http://www.metmuseum.org/art/collection/search/3497	Metropolitan Museum of Art, New York, NY
1971.219	True	American Decorative Arts	Étagère	Étagère	American	Maker		Alexander Roux		Roux, Alexander	French	1813	1886	ca. 1855	1855	1855	Rosewood, chestnut, poplar, bird's-eye maple	86 x 79 1/2 x 31 3/4 in. (218.4 x 201.9 x 80.6 cm)	Sansbury-Mills Fund, 1971		New York			United States		Furniture		http://www.metmuseum.org/art/collection/search/3555	Metropolitan Museum of Art, New York, NY
1974.214.26a, b	False	American Decorative Arts	Ewer	Ewer and Plateau	American	Maker|Retailer		Gorham Manufacturing Company|Spaulding and Company		Gorham Manufacturing Company|Spaulding and Company	American	1831	Present      |Present	1901	1901	1901	Silver	"Overall: 19 1/16 x 8 3/4 x 6 3/8 in. (48.4 x 22.2 x 16.2 cm); 64 oz. 9 dwt. (2005.6 g)
Plateau: 2 5/16 x 17 1/4 in. (5.9 x 43.8 cm); 67 oz. 2 dwt. (2086.5 g)"	Gift of Mr. and Mrs. Hugh J. Grant, 1974		Providence			United States		Silver		http://www.metmuseum.org/art/collection/search/3577	Metropolitan Museum of Art, New York, NY
18.110.4	True	American Decorative Arts	High chest of drawers	High chest of drawers	American									1762–65	1762	1765	"Mahogany, mahogany veneer, tulip poplar,
yellow pine, white cedar"	91 3/4 x 44 5/8 x 24 5/8 in. (233 x 113.3 x 62.5 cm)	John Stewart Kennedy Fund, 1918		Philadelphia			United States		Furniture		http://www.metmuseum.org/art/collection/search/4282	Metropolitan Museum of Art, New York, NY
40.37.1	True	American Decorative Arts	High chest of drawers	High chest of drawers	American									1730–60	1730	1760	Maple, birch, white pine	86 1/2 x 40 x 21 1/2 in. (219.7 x 101.6 x 54.6 cm)	Purchase, Joseph Pulitzer Bequest, 1940		Boston			United States		Furniture		http://www.metmuseum.org/art/collection/search/4285	Metropolitan Museum of Art, New York, NY
1972.47	True	American Decorative Arts	Library table	Library Table	American	Maker		Herter Brothers		Herter Brothers		1864	1906	1879–82	1879	1882	Rosewood, brass, mother-of-pearl, and abalone	31 1/4 x 60 x 35 3/4 in. (79.4 x 152.4 x 90.8 cm)	Purchase, Mrs. Russell Sage Gift, 1972		New York			United States		Furniture		http://www.metmuseum.org/art/collection/search/4785	Metropolitan Museum of Art, New York, NY
99.2	True	American Decorative Arts	Vase	The Magnolia Vase	American	Manufacturer|Designer	Manufactured by|Designed by	Tiffany & Co.|John T. Curran		Tiffany & Co.|Curran, John T.		1837      |1859	Present      |1933	ca. 1893	1890	1893	Silver, gold, enamel, opals	"Overall: 30 7/8 x 19 1/2 in. (78.4 x 49.5 cm); 838 oz. 11 dwt. (26081.6 g)
Foot: Diam. 13 1/2 in. (34.3 cm)"	Gift of Mrs. Winthrop Atwill, 1899		New York			United States		Silver		http://www.metmuseum.org/art/collection/search/4923	Metropolitan Museum of Art, New York, NY
1996.102	True	American Paintings and Sculpture	Painting	Apple Blossoms		Artist		Charles Caryl Coleman		Coleman, Charles Caryl	American	1840	1928	1889	1889	1889	Oil on canvas	62 3/8 x 35 in. (158.4 x 88.9 cm)	Barbara and John Robinson Fund and Marguerite and Frank A. Cosgrove Jr. Fund, 1996							Paintings		http://www.metmuseum.org/art/collection/search/5223	Metropolitan Museum of Art, New York, NY
30.5	True	American Decorative Arts	Stained glass window	Peonies Blown in the Wind	American	Maker		John La Farge		La Farge, John	American	1835	1910	ca. 1880	1877	1880	Leaded opalescent glass	75 x 45 in. (190.5 x 114.3 cm)	Gift of Susan Dwight Bliss, 1930							Glass		http://www.metmuseum.org/art/collection/search/5582	Metropolitan Museum of Art, New York, NY
1976.324	True	American Decorative Arts	Pier table	Pier table	American	Maker		Joseph B. Barry and Son		Barry, and Son Joseph B.		1757	1838	1810–15	1810	1815	"Mahogany, mahogany veneer, satinwood,
amboyna, pine, gilt bronze with yellow poplar"	38 x 54 x 23 3/4 in. (96.5 x 137.2 x 60.3 cm)	Purchase, Friends of the American Wing Fund, Anonymous Gift, George M. Kaufman Gift, Sansbury- Mills Fund; Gifts of the Members of the Committee of the Bertha King Benkard Memorial Fund, Mrs. Russell Sage, Mrs. Frederick Wildman, F. Ethel Wickham, Edgar William and Bernice Chrysler Garbisch, and Mrs. F. M. Townsend, by exchange; and John Stewart Kennedy Fund and Bequests of Martha S. Tiedeman and W. Gedney Beatty, by exchange, 1976		Philadelphia			United States		Furniture		http://www.metmuseum.org/art/collection/search/5630	Metropolitan Museum of Art, New York, NY
34.100.124	True	American Decorative Arts	Plate	Plate	American	Maker	Possibly	Heinrich Roth		Roth, Heinrich		1790	1810	1793	1793	1793	Earthenware, Redware with sgraffito decoration	Diam. 12 1/4 in. (31.1 cm)	Gift of Mrs. Robert W. de Forest, 1933			Northampton County	Northampton County	United States		Ceramics		http://www.metmuseum.org/art/collection/search/6186	Metropolitan Museum of Art, New York, NY
14.74.17	True	American Decorative Arts	Pocket bottle	Pocket bottle	American	Maker|Maker	Attributed to|Attributed to	American Flint Glass Manufactory|Henry William Stiegel		American Flint Glass Manufactory |Stiegel, Henry William	American, born Germany	1764      |1729	1774      |1785	1769–74	1769	1774	Blown pattern-molded glass	H. 4 3/4 in. (12.1 cm)	Gift of Frederick W. Hunter, 1914		Manheim			United States		Glass		http://www.metmuseum.org/art/collection/search/6635	Metropolitan Museum of Art, New York, NY
1982.4a, b	True	American Decorative Arts	Vase	Presentation Vase	American	Maker|Maker		Thomas Fletcher|Sidney Gardiner		Fletcher, Thomas|Gardiner, Sidney	American|American	1787      |1787	1866      |1827	1824	1824	1824	Silver	"Overall: 23 7/16 x 20 1/8 x 15 1/8 in. (59.5 x 51.1 x 38.4 cm); 410 oz. 5 dwt. (12760 g)
Lip: Diam. 12 3/4 in. (32.4 cm)
Cover: 5 5/8 x 12 3/4 in. (14.3 x 32.4 cm)"	Purchase, Louis V. Bell and Rogers Funds; Anonymous and Robert G. Goelet Gifts; and Gifts of Fenton L. B. Brown and of the grandchildren of Mrs. Ranson Spaford Hooker, in her memory, by exchange, 1982		Philadelphia			United States		Silver		http://www.metmuseum.org/art/collection/search/6778	Metropolitan Museum of Art, New York, NY
25.115.15	True	American Decorative Arts	Corner chair	Corner chair	American	Maker	Attributed to	Joseph Armitt		Armitt, Joseph		1697	1747	ca. 1740	1735	1745	Walnut	30 1/2 x 28 1/2 x 27 in. (77.5 x 72.4 x 68.6 cm)	Rogers Fund, 1925		Philadelphia			United States		Furniture		http://www.metmuseum.org/art/collection/search/6906	Metropolitan Museum of Art, New York, NY
1999.396	True	American Decorative Arts	Sofa	Sofa	American	Maker		John H. Belter		Belter, J. H.	German	1804	1863	1850–60	1850	1860	Rosewood	53 1/4 x 66 x 25 in. (135.3 x 167.6 x 63.5 cm)	Purchase, Friends of the American Wing Fund and Lila Acheson Wallace Gift, 1999		New York			United States		Furniture		http://www.metmuseum.org/art/collection/search/7586	Metropolitan Museum of Art, New York, NY
60.4.1	True	American Decorative Arts	Sofa	Sofa	American	Maker	Attributed to	Duncan Phyfe		Phyfe, Duncan	Scottish	1770	1854	ca. 1810–20	1807	1820	Mahogany, tulip poplar, cane, gilded brass	34 x 84 3/4 x 23 3/4 in. (86.4 x 215.3 x 60.3 cm)	Gift of C. Ruxton Love Jr., 1960		New York			United States		Furniture		http://www.metmuseum.org/art/collection/search/7595	Metropolitan Museum of Art, New York, NY
1972.60.1	False	American Decorative Arts	Windows and Paneling	Living Room from the Francis W. Little House: Windows and paneling	American	Maker		Frank Lloyd Wright		Wright, Frank Lloyd	American	1867	1959	1912–15	1912	1915	Oak, leaded glass	"13 ft. 7 1/2 in. × 28 ft. 7 in. × 47 ft. 8 5/8 in. (415.3 × 871.2 × 1454.5 cm)
Each window panel: 53 3/4 x 22 3/4 in. (136.5 x 57.8 cm)"	Purchase, Emily Crane Chadbourne Bequest, 1972							Architecture	© 2017 Artists Rights Society (ARS), New York	http://www.metmuseum.org/art/collection/search/7873	Metropolitan Museum of Art, New York, NY
1990.226a–d	True	American Decorative Arts	Urn	Tea Urn	American	Maker		Paul Revere Jr.		Revere, Paul, Jr.	American	1734	1818	1791	1791	1791	Silver, ivory	"Overall: 22 1/4 x 10 5/8 x 10 3/8 in. (56.5 x 27 x 26.4 cm); 110 oz. 10 dwt. (3437.2 g)
Body: H. 17 15/16 in. (45.6 cm); 88 oz. 9 dwt. (2750.9 g)
Cover: 7 in. (17.8 cm); Diam. 6 in. (15.2 cm); 11 oz. 5 dwt. (350.7 g)
Insert: H. 9 13/16 in. (24.9 cm); 10 oz. 15 dwt. (335.6 g)"	Purchase, The Annenberg Foundation Gift, Annette de la Renta, Mr. and Mrs. Robert G. Goelet, Drue Heinz, and Henry R. Kravis Foundation Inc. Gifts, Friends of the American Wing Fund, Margaret Dewar Stearns Bequest, Mr. and Mrs. Anthony L. Geller and Herbert and Jeanine Coyne Foundation Gifts, Max H. Gluck Foundation Inc. Gift, in honor of Virginia and Leonard Marx, and Rogers, Louis V. Bell and Dodge Funds; and Gift of Elizabeth K. Rodiger, 1990		Boston			United States		Silver		http://www.metmuseum.org/art/collection/search/8288	Metropolitan Museum of Art, New York, NY
57.130.7	True	American Decorative Arts	Tête-à-tête	Tête-à-tête	American	Maker	Attributed to	John H. Belter		Belter, J. H.	German	1804	1863	ca. 1850–60	1847	1860	Rosewood, ash, pine, walnut	44 1/2 x 52 x 43 in. (113 x 132.1 x 109.2 cm)	Gift of Mrs. Charles Reginald Leonard, in memory of Edgar Welch  Leonard, Robert Jarvis Leonard, and Charles Reginald Leonard, 1957		New York			United States		Furniture		http://www.metmuseum.org/art/collection/search/8489	Metropolitan Museum of Art, New York, NY
1984.425	True	American Decorative Arts	Vase	Vase	American	Maker		John Bennett		Bennett, John		1840	1907	1882	1882	1882	Earthenware	H. 11 in. (27.9 cm); Diam. 11 in. (27.9 cm)	Friends of the American Wing Fund, 1984		New York			United States		Ceramics		http://www.metmuseum.org/art/collection/search/9317	Metropolitan Museum of Art, New York, NY
1984.256	True	American Decorative Arts	Vase	Vase	American	Maker		Fulper Pottery Company		Fulper Pottery Company		1899	1935	ca. 1915	1912	1915	Earthenware	H. 37 in. (94 cm); Diam. 15 in. (38.1 cm)	Gift of the daughters of William H. Fulper III, in honor of their grandfather, William H. Fulper II, 1984		Flemington			United States		Ceramics		http://www.metmuseum.org/art/collection/search/9334	Metropolitan Museum of Art, New York, NY
96.17.10	True	American Decorative Arts	Vase	Vase	American	Designer|Maker	Designed by	Louis Comfort Tiffany|Tiffany Glass and Decorating Company		Tiffany, Louis Comfort|Tiffany Glass and Decorating Company	American	1848      |1892	1933      |1902	1893–96	1893	1896	Favrile glass	14 1/8 x 11 1/2 in. (35.9 x 29.2 cm)	Gift of H. O. Havemeyer, 1896		New York	Queens	Queens	United States		Glass		http://www.metmuseum.org/art/collection/search/9480	Metropolitan Museum of Art, New York, NY
69.140a, b	True	American Decorative Arts	Wardrobe	Wardrobe	American	Maker		Herter Brothers		Herter Brothers		1864	1906	1880–85	1880	1885	Cherry	78 1/2 x 49 1/2 x 26 in. (199.4 x 125.7 x 66 cm)	Gift of Kenneth O. Smith, 1969		New York			United States		Furniture		http://www.metmuseum.org/art/collection/search/9724	Metropolitan Museum of Art, New York, NY
46.140.767a, b	True	American Decorative Arts	Wine urn	Wine urn	American	Maker	Probably	Boston & Sandwich Glass Company		Boston and Sandwich Glass Company		1825	1888	1869–80	1869	1880	Pressed glass	H. 20 7/8 in. (53 cm)	Gift of Mrs. Emily Winthrop Miles, 1946		Sandwich			United States		Glass		http://www.metmuseum.org/art/collection/search/9982	Metropolitan Museum of Art, New York, NY
40.127	True	American Decorative Arts	Architectural elements	Woodwork of a Room from the Colden House, Coldenham, New York	American									ca. 1767	1764	1767	Pine	252 x 213 x 113 in. (640.1 x 541 x 287 cm)	Purchase, The Sylmaris Collection, Gift of George Coe Graves, by  exchange, 1940		Coldenham	Orange County	Orange County	United States		Architecture		http://www.metmuseum.org/art/collection/search/9997	Metropolitan Museum of Art, New York, NY
65.49	True	American Paintings and Sculpture	Painting	Ernesta (Child with Nurse)		Artist		Cecilia Beaux		Beaux, Cecilia	American	1855	1942	1894	1894	1894	Oil on canvas	50 1/2 x 38 1/8 in. (128.3 x 96.8 cm)	Maria DeWitt Jesup Fund, 1965							Paintings		http://www.metmuseum.org/art/collection/search/10127	Metropolitan Museum of Art, New York, NY
7.123	True	American Paintings and Sculpture	Painting	The Rocky Mountains, Lander's Peak		Artist		Albert Bierstadt		Bierstadt, Albert	American	1830	1902	1863	1863	1863	Oil on canvas	73 1/2 x 120 3/4 in. (186.7 x 306.7 cm)	Rogers Fund, 1907							Paintings		http://www.metmuseum.org/art/collection/search/10154	Metropolitan Museum of Art, New York, NY
33.61	True	American Paintings and Sculpture	Painting	Fur Traders Descending the Missouri		Artist		George Caleb Bingham		Bingham, George Caleb	American	1811	1879	1845	1845	1845	Oil on canvas	29 x 36 1/2 in. (73.7 x 92.7 cm)	Morris K. Jesup Fund, 1933							Paintings		http://www.metmuseum.org/art/collection/search/10159	Metropolitan Museum of Art, New York, NY
16.68.2	True	American Paintings and Sculpture	Painting	Mary Sylvester		Artist		Joseph Blackburn		Blackburn, Joseph		1715	1815	1754	1754	1754	Oil on canvas	49 7/8 x 40 in. (126.7 x 101.6 cm)	Gift of Sylvester Dering, 1916							Paintings		http://www.metmuseum.org/art/collection/search/10174	Metropolitan Museum of Art, New York, NY
22.16.17	True	American Paintings and Sculpture	Painting	The Cup of Tea		Artist		Mary Cassatt		Cassatt, Mary	American	1844	1926	ca. 1880–81	1877	1884	Oil on canvas	36 3/8 x 25 3/4 in. (92.4 x 65.4 cm)	From the Collection of James Stillman, Gift of Dr. Ernest G. Stillman, 1922							Paintings		http://www.metmuseum.org/art/collection/search/10388	Metropolitan Museum of Art, New York, NY
23.101	True	American Paintings and Sculpture	Painting	Lady at the Tea Table		Artist		Mary Cassatt		Cassatt, Mary	American	1844	1926	1883–85	1883	1885	Oil on canvas	29 x 24 in. (73.7 x 61 cm)	Gift of the artist, 1923							Paintings		http://www.metmuseum.org/art/collection/search/10391	Metropolitan Museum of Art, New York, NY
1975.319.1	True	American Paintings and Sculpture	Watercolor	Portrait of the Artist		Artist		Mary Cassatt		Cassatt, Mary	American	1844	1926	1878	1878	1878	Watercolor, gouache on wove paper laid down to buff-colored wood-pulp paper	23 5/8 x 16 3/16 in. (60 x 41.1 cm)	Bequest of Edith H. Proskauer, 1975							Drawings		http://www.metmuseum.org/art/collection/search/10409	Metropolitan Museum of Art, New York, NY
67.187.123	True	American Paintings and Sculpture	Painting	At the Seaside		Artist		William Merritt Chase		Chase, William Merritt	American	1849	1916	ca. 1892	1889	1892	Oil on canvas	20 x 34 in. (50.8 x 86.4 cm)	Bequest of Miss Adelaide Milton de Groot (1876–1967), 1967							Paintings		http://www.metmuseum.org/art/collection/search/10464	Metropolitan Museum of Art, New York, NY
9.95	True	American Paintings and Sculpture	Painting	Heart of the Andes		Artist		Frederic Edwin Church		Church, Frederic Edwin	American	1826	1900	1859	1859	1859	Oil on canvas	66 1/8 x 119 1/4in. (168 x 302.9cm)	Bequest of Margaret E. Dows, 1909							Paintings		http://www.metmuseum.org/art/collection/search/10481	Metropolitan Museum of Art, New York, NY
15.30.67	True	American Paintings and Sculpture	Painting	The Parthenon		Artist		Frederic Edwin Church		Church, Frederic Edwin	American	1826	1900	1871	1871	1871	Oil on canvas	44 1/2 x 72 5/8 in. (113 x 184.5 cm)	Bequest of Maria DeWitt Jesup, from the collection of her husband, Morris K. Jesup, 1914							Paintings		http://www.metmuseum.org/art/collection/search/10482	Metropolitan Museum of Art, New York, NY
8.228	True	American Paintings and Sculpture	Painting	View from Mount Holyoke, Northampton, Massachusetts, after a Thunderstorm—The Oxbow		Artist		Thomas Cole		Cole, Thomas	American	1801	1848	1836	1836	1836	Oil on canvas	51 1/2 x 76 in. (130.8 x 193 cm)	Gift of Mrs. Russell Sage, 1908							Paintings		http://www.metmuseum.org/art/collection/search/10497	Metropolitan Museum of Art, New York, NY
04.29.2	True	American Paintings and Sculpture	Painting	The Titan's Goblet		Artist		Thomas Cole		Cole, Thomas	American	1801	1848	1833	1833	1833	Oil on canvas	19 3/8 x 16 1/8 in. (49.2 x 41 cm)	Gift of Samuel P. Avery Jr., 1904							Paintings		http://www.metmuseum.org/art/collection/search/10499	Metropolitan Museum of Art, New York, NY
49.12	True	American Paintings and Sculpture	Painting	Daniel Crommelin Verplanck		Artist		John Singleton Copley		Copley, John Singleton	American	1738	1815	1771	1771	1771	Oil on canvas	49 1/2 x 40 in. (125.7 x 101.6 cm)	Gift of Bayard Verplanck, 1949							Paintings		http://www.metmuseum.org/art/collection/search/10522	Metropolitan Museum of Art, New York, NY
43.86.4	True	American Paintings and Sculpture	Painting	Midshipman Augustus Brine		Artist		John Singleton Copley		Copley, John Singleton	American	1738	1815	1782	1782	1782	Oil on canvas	50 x 40 in. (127 x 101.6 cm)	Bequest of Richard De Wolfe Brixey, 1943							Paintings		http://www.metmuseum.org/art/collection/search/10527	Metropolitan Museum of Art, New York, NY
31.109	True	American Paintings and Sculpture	Painting	Mrs. John Winthrop		Artist		John Singleton Copley		Copley, John Singleton	American	1738	1815	1773	1773	1773	Oil on canvas	35 1/2 x 28 3/4 in. (90.2 x 73 cm)	Morris K. Jesup Fund, 1931							Paintings		http://www.metmuseum.org/art/collection/search/10531	Metropolitan Museum of Art, New York, NY
97.13.1	True	American Paintings and Sculpture	Sculpture	Genius of Mirth		Artist		Thomas Crawford		Crawford, Thomas	American	1813	1857	1842; carved 1843	1842	1843	Marble	47 x 20 x 24 in. (119.4 x 50.8 x 61 cm)	Bequest of Annette W. W. Hicks-Lord, 1896							Sculpture		http://www.metmuseum.org/art/collection/search/10574	Metropolitan Museum of Art, New York, NY
66.113	True	American Paintings and Sculpture	Painting	The Valley of Wyoming		Artist		Jasper Francis Cropsey		Cropsey, Jasper Francis	American	1823	1900	1865	1865	1865	Oil on canvas	48 1/2 x 84 in. (123.2 x 213.4 cm)	Gift of Mrs. John C. Newington, 1966							Paintings		http://www.metmuseum.org/art/collection/search/10586	Metropolitan Museum of Art, New York, NY
