accession_number,public_domain,department,object_name,title,Artist Role,Artist Prefix,Artist Display Name,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,object_begin_date,object_end_date,acquisition_type,acquisition_date,city,country,region,classification,rights,web_link,Repository,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60.29.1a, b",TRUE,American Decorative Arts,Secretary bookcase,Secretary-bookcase,Maker,Possibly by,Robert Fisher,,"Fisher, Robert",,1824,1837,1825–35,1825,1835,Gift of Francis Hartman Markoe,1960,New York,United States,,Furniture,,http://www.metmuseum.org/art/collection/search/3158,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.228.3,TRUE,American Decorative Arts,Easy chair,Easy Chair,Maker,,Caleb Gardner,,"Gardner, Caleb",,1711,1761,1758,1758,1758,Gift of Mrs. J. Insley Blair,1950,Newport,United States,,Furniture,,http://www.metmuseum.org/art/collection/search/3497,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971.219,TRUE,American Decorative Arts,Étagère,Étagère,Maker,,Alexander Roux,,"Roux, Alexander",French,1813,1886,ca. 1855,1855,1855,Sansbury-Mills Fund,1971,New York,United States,,Furniture,,http://www.metmuseum.org/art/collection/search/3555,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1974.214.26a, b",FALSE,American Decorative Arts,Ewer,Ewer and Plateau,Maker|Retailer,,Gorham Manufacturing Company|Spaulding and Company,,Gorham Manufacturing Company|Spaulding and Company ,American,1831,Present      |Present      ,1901,1901,1901,Gift of Mr. and Mrs. Hugh J. Grant,1974,Providence,United States,,Silver,,http://www.metmuseum.org/art/collection/search/3577,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.110.4,TRUE,American Decorative Arts,High chest of drawers,High chest of drawers,,,,,,,,,1762–65,1762,1765,John Stewart Kennedy Fund,1918,Philadelphia,United States,,Furniture,,http://www.metmuseum.org/art/collection/search/4282,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.37.1,TRUE,American Decorative Arts,High chest of drawers,High chest of drawers,,,,,,,,,1730–60,1730,1760,Purchase Joseph Pulitzer Bequest,1940,Boston,United States,,Furniture,,http://www.metmuseum.org/art/collection/search/4285,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972.47,TRUE,American Decorative Arts,Library table,Library Table,Maker,,Herter Brothers,,Herter Brothers,,1864,1906,1879–82,1879,1882,Purchase Mrs. Russell Sage Gift,1972,New York,United States,,Furniture,,http://www.metmuseum.org/art/collection/search/4785,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.2,TRUE,American Decorative Arts,Vase,The Magnolia Vase,Manufacturer|Designer,Manufactured by|Designed by,Tiffany & Co.|John T. Curran,,"Tiffany & Co.|Curran, John T.",,1837      |1859      ,Present      |1933      ,ca. 1893,1890,1893,Gift of Mrs. Winthrop Atwill,1899,New York,United States,,Silver,,http://www.metmuseum.org/art/collection/search/4923,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996.102,TRUE,American Paintings and Sculpture,Painting,Apple Blossoms,Artist,,Charles Caryl Coleman,,"Coleman, Charles Caryl",American,1840,1928,1889,1889,1889,Barbara and John Robinson Fund and Marguerite and Frank A. Cosgrove Jr. Fund,1996,,,,Paintings,,http://www.metmuseum.org/art/collection/search/5223,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.5,TRUE,American Decorative Arts,Stained glass window,Peonies Blown in the Wind,Maker,,John La Farge,,"La Farge, John",American,1835,1910,ca. 1880,1877,1880,Gift of Susan Dwight Bliss,1930,,,,Glass,,http://www.metmuseum.org/art/collection/search/5582,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976.324,TRUE,American Decorative Arts,Pier table,Pier table,Maker,,Joseph B. Barry and Son,,"Barry, and Son Joseph B.",,1757,1838,1810–15,1810,1815,Purchase Friends of the American Wing Fund Anonymous Gift George M. Kaufman Gift Sansbury- Mills Fund; Gifts of the Members of the Committee of the Bertha King Benkard Memorial Fund Mrs. Russell Sage Mrs. Frederick Wildman F. Ethel Wickham Edgar William and Bernice Chrysler Garbisch and Mrs. F. M. Townsend,,,,,,,,," by exchange""	1976	Philadelphia	United States		Furniture		http://www.metmuseum.org/art/collection/search/5630	""Metropolitan Museum of Art", New York," NY""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.100.124,TRUE,American Decorative Arts,Plate,Plate,Maker,Possibly,Heinrich Roth,,"Roth, Heinrich",,1790,1810,1793,1793,1793,Gift of Mrs. Robert W. de Forest,1933,,United States,,Ceramics,,http://www.metmuseum.org/art/collection/search/6186,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.74.17,TRUE,American Decorative Arts,Pocket bottle,Pocket bottle,Maker|Maker,Attributed to|Attributed to,American Flint Glass Manufactory|Henry William Stiegel,,"American Flint Glass Manufactory |Stiegel, Henry William","American, born Germany",1764      |1729      ,1774      |1785      ,1769–74,1769,1774,Gift of Frederick W. Hunter,1914,Manheim,United States,,Glass,,http://www.metmuseum.org/art/collection/search/6635,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1982.4a, b",TRUE,American Decorative Arts,Vase,Presentation Vase,Maker|Maker,,Thomas Fletcher|Sidney Gardiner,,"Fletcher, Thomas|Gardiner, Sidney",American|American,1787      |1787      ,1866      |1827      ,1824,1824,1824,Purchase Louis V. Bell and Rogers Funds; Anonymous and Robert G. Goelet Gifts; and Gifts of Fenton L. B. Brown and of the grandchildren of Mrs. Ranson Spaford Hooker in her memory by exchange,1982,Philadelphia,United States,,Silver,,http://www.metmuseum.org/art/collection/search/6778,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.115.15,TRUE,American Decorative Arts,Corner chair,Corner chair,Maker,Attributed to,Joseph Armitt,,"Armitt, Joseph",,1697,1747,ca. 1740,1735,1745,Rogers Fund,1925,Philadelphia,United States,,Furniture,,http://www.metmuseum.org/art/collection/search/6906,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999.396,TRUE,American Decorative Arts,Sofa,Sofa,Maker,,John H. Belter,,"Belter, J. H.",German,1804,1863,1850–60,1850,1860,Purchase Friends of the American Wing Fund and Lila Acheson Wallace Gift,1999,New York,United States,,Furniture,,http://www.metmuseum.org/art/collection/search/7586,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.4.1,TRUE,American Decorative Arts,Sofa,Sofa,Maker,Attributed to,Duncan Phyfe,,"Phyfe, Duncan",Scottish,1770,1854,ca. 1810–20,1807,1820,Gift of C. Ruxton Love Jr.,1960,New York,United States,,Furniture,,http://www.metmuseum.org/art/collection/search/7595,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972.60.1,FALSE,American Decorative Arts,Windows and Paneling,Living Room from the Francis W. Little House: Windows and paneling,Maker,,Frank Lloyd Wright,,"Wright, Frank Lloyd",American,1867,1959,1912–15,1912,1915,Purchase Emily Crane Chadbourne Bequest,1972,,,,Architecture,© 2017 Artists Rights Society (ARS) New York,http://www.metmuseum.org/art/collection/search/7873,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.226a–d,TRUE,American Decorative Arts,Urn,Tea Urn,Maker,,Paul Revere Jr.,,"Revere, Paul, Jr.",American,1734,1818,1791,1791,1791,Purchase The Annenberg Foundation Gift Annette de la Renta Mr. and Mrs. Robert G. Goelet Drue Heinz and Henry R. Kravis Foundation Inc. Gifts Friends of the American Wing Fund Margaret Dewar Stearns Bequest,,,,,,,,, Max H. Gluck Foundation Inc. Gift, in honor of Virginia and Leonard Marx, and Rogers," Louis V. Bell and Dodge Funds; and Gift of Elizabeth K. Rodiger""	1990	Boston	United States		Silver		http://www.metmuseum.org/art/collection/search/8288	""Metropolitan Museum of Art", New York," NY""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.130.7,TRUE,American Decorative Arts,Tête-à-tête,Tête-à-tête,Maker,Attributed to,John H. Belter,,"Belter, J. H.",German,1804,1863,ca. 1850–60,1847,1860,Gift of Mrs. Charles Reginald Leonard in memory of Edgar Welch  Leonard Robert Jarvis Leonard and Charles Reginald Leonard,1957,New York,United States,,Furniture,,http://www.metmuseum.org/art/collection/search/8489,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984.425,TRUE,American Decorative Arts,Vase,Vase,Maker,,John Bennett,,"Bennett, John",,1840,1907,1882,1882,1882,Friends of the American Wing Fund,1984,New York,United States,,Ceramics,,http://www.metmuseum.org/art/collection/search/9317,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984.256,TRUE,American Decorative Arts,Vase,Vase,Maker,,Fulper Pottery Company,,Fulper Pottery Company,,1899,1935,ca. 1915,1912,1915,Gift of the daughters of William H. Fulper III in honor of their grandfather William H. Fulper II,1984,Flemington,United States,,Ceramics,,http://www.metmuseum.org/art/collection/search/9334,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96.17.10,TRUE,American Decorative Arts,Vase,Vase,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,1893–96,1893,1896,Gift of H. O. Havemeyer,1896,New York,United States,,Glass,,http://www.metmuseum.org/art/collection/search/9480,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"69.140a, b",TRUE,American Decorative Arts,Wardrobe,Wardrobe,Maker,,Herter Brothers,,Herter Brothers,,1864,1906,1880–85,1880,1885,Gift of Kenneth O. Smith,1969,New York,United States,,Furniture,,http://www.metmuseum.org/art/collection/search/9724,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46.140.767a, b",TRUE,American Decorative Arts,Wine urn,Wine urn,Maker,Probably,Boston & Sandwich Glass Company,,Boston and Sandwich Glass Company ,,1825,1888,1869–80,1869,1880,Gift of Mrs. Emily Winthrop Miles,1946,Sandwich,United States,,Glass,,http://www.metmuseum.org/art/collection/search/9982,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.127,TRUE,American Decorative Arts,Architectural elements,Woodwork of a Room from the Colden House Coldenham New York,,,,,,,,,ca. 1767,1764,1767,Purchase The Sylmaris Collection Gift of George Coe Graves by  exchange,1940,Coldenham,United States,,Architecture,,http://www.metmuseum.org/art/collection/search/9997,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.49,TRUE,American Paintings and Sculpture,Painting,Ernesta (Child with Nurse),Artist,,Cecilia Beaux,,"Beaux, Cecilia",American,1855,1942,1894,1894,1894,Maria DeWitt Jesup Fund,1965,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10127,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.123,TRUE,American Paintings and Sculpture,Painting,The Rocky Mountains Lander's Peak,Artist,,Albert Bierstadt,,"Bierstadt, Albert",American,1830,1902,1863,1863,1863,Rogers Fund,1907,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10154,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.61,TRUE,American Paintings and Sculpture,Painting,Fur Traders Descending the Missouri,Artist,,George Caleb Bingham,,"Bingham, George Caleb",American,1811,1879,1845,1845,1845,Morris K. Jesup Fund,1933,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10159,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.68.2,TRUE,American Paintings and Sculpture,Painting,Mary Sylvester,Artist,,Joseph Blackburn,,"Blackburn, Joseph",,1715,1815,1754,1754,1754,Gift of Sylvester Dering,1916,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10174,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.16.17,TRUE,American Paintings and Sculpture,Painting,The Cup of Tea,Artist,,Mary Cassatt,,"Cassatt, Mary",American,1844,1926,ca. 1880–81,1877,1884,From the Collection of James Stillman Gift of Dr. Ernest G. Stillman,1922,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10388,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.101,TRUE,American Paintings and Sculpture,Painting,Lady at the Tea Table,Artist,,Mary Cassatt,,"Cassatt, Mary",American,1844,1926,1883–85,1883,1885,Gift of the artist,1923,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10391,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975.319.1,TRUE,American Paintings and Sculpture,Watercolor,Portrait of the Artist,Artist,,Mary Cassatt,,"Cassatt, Mary",American,1844,1926,1878,1878,1878,Bequest of Edith H. Proskauer,1975,,,,Drawings,,http://www.metmuseum.org/art/collection/search/10409,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.187.123,TRUE,American Paintings and Sculpture,Painting,At the Seaside,Artist,,William Merritt Chase,,"Chase, William Merritt",American,1849,1916,ca. 1892,1889,1892,Bequest of Miss Adelaide Milton de Groot (1876–1967),1967,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10464,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.95,TRUE,American Paintings and Sculpture,Painting,Heart of the Andes,Artist,,Frederic Edwin Church,,"Church, Frederic Edwin",American,1826,1900,1859,1859,1859,Bequest of Margaret E. Dows,1909,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10481,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.30.67,TRUE,American Paintings and Sculpture,Painting,The Parthenon,Artist,,Frederic Edwin Church,,"Church, Frederic Edwin",American,1826,1900,1871,1871,1871,Bequest of Maria DeWitt Jesup from the collection of her husband Morris K. Jesup,1914,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10482,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.228,TRUE,American Paintings and Sculpture,Painting,View from Mount Holyoke Northampton Massachusetts after a Thunderstorm—The Oxbow,Artist,,Thomas Cole,,"Cole, Thomas",American,1801,1848,1836,1836,1836,Gift of Mrs. Russell Sage,1908,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10497,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.29.2,TRUE,American Paintings and Sculpture,Painting,The Titan's Goblet,Artist,,Thomas Cole,,"Cole, Thomas",American,1801,1848,1833,1833,1833,Gift of Samuel P. Avery Jr.,1904,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10499,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.12,TRUE,American Paintings and Sculpture,Painting,Daniel Crommelin Verplanck,Artist,,John Singleton Copley,,"Copley, John Singleton",American,1738,1815,1771,1771,1771,Gift of Bayard Verplanck,1949,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10522,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.86.4,TRUE,American Paintings and Sculpture,Painting,Midshipman Augustus Brine,Artist,,John Singleton Copley,,"Copley, John Singleton",American,1738,1815,1782,1782,1782,Bequest of Richard De Wolfe Brixey,1943,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10527,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.109,TRUE,American Paintings and Sculpture,Painting,Mrs. John Winthrop,Artist,,John Singleton Copley,,"Copley, John Singleton",American,1738,1815,1773,1773,1773,Morris K. Jesup Fund,1931,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10531,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.13.1,TRUE,American Paintings and Sculpture,Sculpture,Genius of Mirth,Artist,,Thomas Crawford,,"Crawford, Thomas",American ,1813,1857,1842; carved 1843,1842,1843,Bequest of Annette W. W. Hicks-Lord,1896,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/10574,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.113,TRUE,American Paintings and Sculpture,Painting,The Valley of Wyoming,Artist,,Jasper Francis Cropsey,,"Cropsey, Jasper Francis",American,1823,1900,1865,1865,1865,Gift of Mrs. John C. Newington,1966,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10586,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972.263.6,TRUE,American Paintings and Sculpture,Watercolor,Mr. and Mrs. Daniel Otis and Child,Artist,,Joseph H. Davis,,"Davis, Joseph H.",,1811,1865,1834,1834,1834,Gift of Edgar William and Bernice Chrysler Garbisch,1972,,,,Drawings,,http://www.metmuseum.org/art/collection/search/10732,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.30.59,TRUE,American Paintings and Sculpture,Painting,The Beeches,Artist,,Asher Brown Durand,,"Durand, Asher Brown",American,1796,1886,1845,1845,1845,Bequest of Maria DeWitt Jesup from the collection of her husband Morris K. Jesup,1914,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10786,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.156,TRUE,American Paintings and Sculpture,Painting,"Landscape—Scene from ""Thanatopsis""",Artist,,Asher Brown Durand,,"Durand, Asher Brown",American,1796,1886,1850,1850,1850,Gift of J. Pierpont Morgan,1911,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10793,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
